Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.713333,7.713333,7.626667,572.000000,7.626667,387200
1962-01-03,7.626667,7.693333,7.626667,577.000000,7.693333,288000
1962-01-04,7.693333,7.693333,7.613333,571.250061,7.616667,256000
1962-01-05,7.606667,7.606667,7.453333,560.000000,7.466667,363200
1962-01-08,7.460000,7.460000,7.266667,549.500061,7.326667,544000
1962-01-09,7.360000,7.506667,7.360000,556.000000,7.413333,491200
1962-01-10,7.426667,7.460000,7.426667,557.000061,7.426667,299200
1962-01-11,7.446667,7.506667,7.446667,563.000000,7.506667,315200
1962-01-12,7.520000,7.573333,7.520000,564.000000,7.520000,435200
1962-01-15,7.546667,7.570000,7.546667,566.500000,7.553333,251200
1962-01-16,7.546667,7.546667,7.473333,560.500000,7.473333,251200
1962-01-17,7.440000,7.440000,7.333333,551.500000,7.353333,419200
1962-01-18,7.373333,7.446667,7.373333,553.000000,7.373333,371200
1962-01-19,7.373333,7.393333,7.293334,553.500000,7.380000,400000
1962-01-22,7.380000,7.453333,7.360000,552.500061,7.366667,275200
1962-01-23,7.363333,7.373333,7.280000,547.000000,7.293334,371200
1962-01-24,7.293334,7.333333,7.256667,550.000000,7.333333,408000
1962-01-25,7.333333,7.393333,7.240000,544.000000,7.253334,315200
1962-01-26,7.253334,7.280000,7.213333,541.250000,7.216667,243200
1962-01-29,7.216667,7.266667,7.093333,532.000000,7.093333,579200
1962-01-30,7.093333,7.133333,7.003334,525.250000,7.003334,736000
1962-01-31,7.073333,7.226666,7.073333,542.000000,7.226666,760000
1962-02-01,7.300000,7.413333,7.300000,554.500000,7.393333,640000
1962-02-02,7.393333,7.440000,7.360000,558.000000,7.440000,507200
1962-02-05,7.440000,7.440000,7.306667,551.000000,7.346667,312000
1962-02-06,7.346667,7.360000,7.320000,551.500000,7.353333,256000
1962-02-07,7.360000,7.400000,7.360000,552.000000,7.360000,251200
1962-02-08,7.360000,7.400000,7.360000,552.500061,7.366667,16000
1962-02-09,7.366667,7.420000,7.333333,556.500000,7.420000,432000
1962-02-12,7.420000,7.480000,7.413333,557.000061,7.426667,280000
1962-02-13,7.426667,7.433333,7.306667,548.000000,7.306667,256000
1962-02-14,7.306667,7.333333,7.280000,547.000000,7.293334,208000
1962-02-15,7.293334,7.293334,7.260000,545.000061,7.266667,227200
1962-02-16,7.266667,7.293334,7.260000,544.500061,7.260000,219200
1962-02-19,7.260000,7.293334,7.173333,539.000000,7.186666,280000
1962-02-20,7.190000,7.226666,7.190000,539.250000,7.190000,288000
1962-02-21,7.190000,7.240000,7.136667,535.250000,7.136667,363200
1962-02-23,7.146667,7.173333,7.146667,537.000000,7.160000,288000
1962-02-26,7.160000,7.166667,7.120000,534.999939,7.133333,299200
1962-02-27,7.133333,7.193333,7.093333,536.000000,7.146667,347200
1962-02-28,7.146667,7.160000,7.106667,537.000000,7.160000,267200
1962-03-01,7.186666,7.246666,7.186666,543.500000,7.246666,280000
1962-03-02,7.306667,7.346667,7.306667,548.000000,7.306667,243200
1962-03-05,7.306667,7.306667,7.253334,546.000000,7.280000,360000
1962-03-06,7.280000,7.313334,7.266667,546.500000,7.286667,184000
1962-03-07,7.286667,7.310000,7.266667,548.250000,7.310000,123200
1962-03-08,7.310000,7.326667,7.266667,549.500061,7.326667,184000
1962-03-09,7.333333,7.373333,7.333333,553.000000,7.373333,288000
1962-03-12,7.373333,7.393333,7.346667,552.500061,7.366667,280000
1962-03-13,7.366667,7.366667,7.333333,552.000000,7.360000,123200
1962-03-14,7.360000,7.380000,7.333333,551.000000,7.346667,195200
1962-03-15,7.346667,7.386667,7.333333,550.000000,7.333333,243200
1962-03-16,7.333333,7.366667,7.333333,552.500061,7.366667,160000
1962-03-19,7.380000,7.413333,7.380000,554.000000,7.386667,371200
1962-03-20,7.373333,7.373333,7.340000,550.500000,7.340000,160000
1962-03-21,7.340000,7.360000,7.320000,551.000000,7.346667,256000
1962-03-22,7.320000,7.320000,7.266667,545.000061,7.266667,240000
1962-03-23,7.273334,7.306667,7.273334,547.000000,7.293334,184000
1962-03-26,7.293334,7.320000,7.280000,546.750000,7.290000,131200
1962-03-27,7.273334,7.273334,7.146667,536.500000,7.153333,347200
1962-03-28,7.160000,7.213333,7.160000,539.500000,7.193333,328000
1962-03-29,7.193333,7.226666,7.173333,537.999939,7.173333,227200
1962-03-30,7.160000,7.160000,7.070000,532.750000,7.103333,435200
1962-04-02,7.100000,7.100000,7.006667,525.500000,7.006667,371200
1962-04-03,7.000000,7.000000,6.760000,512.500000,6.833333,912000
1962-04-04,6.833333,6.893333,6.803333,510.250000,6.803333,648000
1962-04-05,6.840000,6.946667,6.840000,521.000000,6.946667,912000
1962-04-06,6.946667,7.000000,6.893333,520.500000,6.940000,432000
1962-04-09,6.940000,6.980000,6.893333,521.000000,6.946667,16000
1962-04-10,6.946667,6.973333,6.906667,523.000000,6.973333,256000
1962-04-11,6.973333,7.026667,6.880000,516.000000,6.880000,528000
1962-04-12,6.880000,6.893333,6.806667,510.500000,6.806667,400000
1962-04-13,6.806667,6.906667,6.800000,518.000000,6.906667,627200
1962-04-16,6.906667,6.953333,6.826667,517.500000,6.900000,507200
1962-04-17,6.900000,6.933333,6.866667,520.000000,6.933333,299200
1962-04-18,6.933333,6.993333,6.913333,519.000000,6.920000,424000
1962-04-19,6.920000,6.946667,6.893333,519.000000,6.920000,387200
1962-04-23,6.920000,6.926667,6.886667,518.500000,6.913333,312000
1962-04-24,6.913333,6.956666,6.900000,518.000000,6.906667,456000
1962-04-25,6.906667,6.933333,6.833333,512.500000,6.833333,459200
1962-04-26,6.826667,6.826667,6.660000,499.499969,6.660000,928000
1962-04-27,6.660000,6.733333,6.400000,485.500031,6.473333,1632000
1962-04-30,6.473333,6.533333,6.000000,454.000000,6.053333,2344000
1962-05-01,6.053333,6.193333,5.733333,461.999969,6.160000,5315200
1962-05-02,6.266667,6.453333,6.266667,472.500000,6.300000,2555200
1962-05-03,6.300000,6.453333,6.253334,482.250000,6.430000,1360000
1962-05-04,6.430000,6.480000,6.366667,486.000031,6.480000,779200
1962-05-07,6.480000,6.530000,6.336667,475.249969,6.336667,827200
1962-05-08,6.328333,6.328333,6.126667,459.500000,6.126667,1032000
1962-05-09,6.126667,6.183333,6.000000,451.000000,6.013333,1600000
1962-05-10,6.013333,6.130000,5.986667,453.000031,6.040000,1907200
1962-05-11,6.040000,6.133333,5.920000,446.000000,5.946667,1896000
1962-05-14,5.946667,6.060000,5.843333,454.499969,6.060000,2728000
1962-05-15,6.060000,6.173333,6.026667,452.000000,6.026667,1683200
1962-05-16,6.026667,6.126667,6.026667,457.000000,6.093333,880000
1962-05-17,6.093333,6.093333,5.960000,449.000000,5.986667,971200
1962-05-18,5.986667,6.020000,5.940000,451.500000,6.020000,731200
1962-05-21,6.020000,6.020000,5.946667,450.000000,6.000000,395200
1962-05-22,5.993333,5.993333,5.800000,435.000000,5.800000,1000000
1962-05-23,5.800000,5.840000,5.536667,415.250000,5.536667,2891200
1962-05-24,5.536667,5.680000,5.306667,398.000031,5.306667,4152000
1962-05-25,5.306667,5.426667,5.173333,398.500031,5.313334,4299200
1962-05-28,5.293334,5.293334,4.733333,361.000031,4.813334,4320000
1962-05-29,4.873333,5.160000,4.873333,383.000000,5.106667,3856000
1962-05-31,5.200000,5.333333,5.200000,392.500000,5.233333,4128000
1962-06-01,5.213333,5.213333,5.103333,385.000000,5.133333,2411200
1962-06-04,5.066667,5.066667,4.800000,360.000000,4.800000,1811200
1962-06-05,4.800000,4.986667,4.706666,364.125000,4.855000,3160000
1962-06-06,4.855000,5.013333,4.826667,365.500000,4.873333,2880000
